mes,drift_pesos
Enero 2022,0.00e+00
Febrero 2022,0.00e+00
Marzo 2022,0.00e+00
Abril 2022,0.00e+00
Mayo 2022,0.00e+00
Junio 2022,0.00e+00
Julio 2022,0.00e+00
Agosto 2022,-1.16e-10
Septiembre 2022,0.00e+00
Octubre 2022,-1.16e-10
Noviembre 2022,-1.16e-10
Diciembre 2022,0.00e+00
Enero 2023,0.00e+00
Febrero 2023,0.00e+00
Marzo 2023,0.00e+00
Abril 2023,-1.16e-10
Mayo 2023,0.00e+00
Junio 2023,1.16e-10
Julio 2023,0.00e+00
Agosto 2023,0.00e+00
Septiembre 2023,1.16e-10
Octubre 2023,0.00e+00
Noviembre 2023,1.16e-10
Diciembre 2023,0.00e+00
Enero 2024,-1.16e-10
Febrero 2024,0.00e+00
Marzo 2024,0.00e+00
Abril 2024,0.00e+00
Mayo 2024,0.00e+00
Junio 2024,1.16e-10
Julio 2024,1.16e-10
Agosto 2024,1.16e-10
Septiembre 2024,1.16e-10
Octubre 2024,0.00e+00
Noviembre 2024,0.00e+00
Diciembre 2024,0.00e+00
Enero 2025,0.00e+00
Febrero 2025,0.00e+00
Marzo 2025,1.16e-10
Abril 2025,0.00e+00
Mayo 2025,1.16e-10
Junio 2025,0.00e+00
Julio 2025,-1.16e-10
Agosto 2025,1.16e-10
Septiembre 2025,-1.16e-10
Octubre 2025,1.16e-10
Noviembre 2025,-1.16e-10
Diciembre 2025,-1.16e-10
